,Reaction,Biomass_p,Arginine,Cysteine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Proline,Threonine,Tryptophan,Valine,Glucose,Asparagine,Aspartate,Glutamine,Serine,Tyrosine,IgG
97,FATP7t,0.0257,-0.008,-0.0027,-0.0031,-0.0071,-0.0139,-0.0126,-0.0034,-0.0061,-0.0072,-0.0083,-0.0008,-0.0105,-0.2094,-0.0529,0.0,0.0028,-0.0006,-0.0043,0.0
98,FATP8t,0.0257,-0.008,-0.0027,-0.0031,-0.0071,-0.0139,-0.0126,-0.0034,-0.0061,-0.0072,-0.0083,-0.0008,-0.0105,-0.2094,-0.0529,0.0,0.0028,-0.0006,-0.0043,0.0
99,FATP9t,0.0257,-0.008,-0.0027,-0.0031,-0.0071,-0.0139,-0.0126,-0.0034,-0.0061,-0.0072,-0.0083,-0.0008,-0.0105,-0.2094,-0.0529,0.0,0.0028,-0.0006,-0.0043,0.0
100,FE2DMT1,0.0257,-0.008,-0.0027,-0.0031,-0.0071,-0.0139,-0.0126,-0.0034,-0.0061,-0.0072,-0.0083,-0.0008,-0.0105,-0.2094,-0.0529,0.0,0.0028,-0.0006,-0.0043,0.0
101,FE3MTP1,0.0257,-0.008,-0.0027,-0.0031,-0.0071,-0.0139,-0.0126,-0.0034,-0.0061,-0.0072,-0.0083,-0.0008,-0.0105,-0.2094,-0.0529,0.0,0.0028,-0.0006,-0.0043,0.0
102,FRUt1r,0.0257,-0.008,-0.0027,-0.0031,-0.0071,-0.0139,-0.0126,-0.0034,-0.0061,-0.0072,-0.0083,-0.0008,-0.0105,-0.2094,-0.0529,0.0,0.0028,-0.0006,-0.0043,0.0
103,GALt1r,0.0257,-0.008,-0.0027,-0.0031,-0.0071,-0.0139,-0.0126,-0.0034,-0.0061,-0.0072,-0.0083,-0.0008,-0.0105,-0.2094,-0.0529,0.0,0.0028,-0.0006,-0.0043,0.0
104,GLCt1r,0.0257,-0.008,-0.0027,-0.0031,-0.0071,-0.0139,-0.0126,-0.0034,-0.0061,-0.0072,-0.0083,-0.0008,-0.0105,-0.2094,-0.0529,0.0,0.0028,-0.0006,-0.0043,0.0
105,GLCt4,0.0257,-0.008,-0.0027,-0.0031,-0.0071,-0.0139,-0.0126,-0.0034,-0.0061,-0.0072,-0.0083,-0.0008,-0.0105,-0.2094,-0.0529,0.0,0.0028,-0.0006,-0.0043,0.0
106,GLNALANaEx,0.0257,-0.008,-0.0027,-0.0031,-0.0071,-0.0139,-0.0126,-0.0034,-0.0061,-0.0072,-0.0083,-0.0008,-0.0105,-0.2094,-0.0529,0.0,0.0028,-0.0006,-0.0043,0.0
107,GLNASNNaEx,0.0257,-0.008,-0.0027,-0.0031,-0.0071,-0.0139,-0.0126,-0.0034,-0.0061,-0.0072,-0.0083,-0.0008,-0.0105,-0.2094,-0.0529,0.0,0.0028,-0.0006,-0.0043,0.0
108,GLNCYSNaEx,0.0257,-0.008,-0.0027,-0.0031,-0.0071,-0.0139,-0.0126,-0.0034,-0.0061,-0.0072,-0.0083,-0.0008,-0.0105,-0.2094,-0.0529,0.0,0.0028,-0.0006,-0.0043,0.0
